stage,epoch,loss,first_margin,revise_margin,disagreement_margin,samples,exact_acc,char_acc,fixed,broken,net_fixes,mean_cost,stop_rate,revise_rate
ppo,18,0.0008720159630781861,0.2,0.0,0.2,527,0.8121442125237192,0.9493087557603687,6,6,0,0.007480075901328273,0.05502846299810247,0.04364326375711575
ppo,19,0.00039005434886622495,0.2,0.0,0.2,527,0.8140417457305503,0.9495391705069125,7,6,1,0.007599620493358634,0.04364326375711575,0.04743833017077799
ppo,20,0.0008850459006905395,0.2,0.0,0.2,527,0.8159392789373814,0.9488479262672811,7,5,2,0.007759013282732447,0.03415559772296015,0.051233396584440226
ppo,21,-0.0007528041649649862,0.2,0.05,0.2,527,0.8178368121442126,0.9490783410138249,8,5,3,0.007808349146110057,0.028462998102466792,0.024667931688804556
ppo,22,0.0005925764014362973,0.05,0.0,-2.0,527,0.8178368121442126,0.9493087557603687,8,5,3,0.007999999999999998,0.015180265654648957,0.056925996204933584
ppo,23,-0.0021170807383934813,0.1,0.1,0.2,527,0.8178368121442126,0.9490783410138249,8,5,3,0.007850094876660342,0.022770398481973434,0.015180265654648957
ppo,24,-0.0010556214003670942,0.2,0.0,0.1,527,0.8197343453510436,0.947926267281106,9,5,4,0.007982922201138517,0.017077798861480076,0.05502846299810247
ppo,25,0.0002896601787556416,0.1,0.1,0.1,527,0.8216318785578748,0.9493087557603687,9,4,5,0.007905123339658444,0.015180265654648957,0.009487666034155597
ppo,26,0.00034293439239263535,0.1,0.2,0.1,527,0.8216318785578748,0.9493087557603687,9,4,5,0.007893738140417458,0.015180265654648957,0.0
ppo,27,-0.00024480583569990897,0.0,0.0,0.2,527,0.8216318785578748,0.9497695852534562,9,4,5,0.008081593927893739,0.009487666034155597,0.07590132827324478
ppo,28,0.00045011863334193115,0.1,0.05,0.1,527,0.8235294117647058,0.95,9,3,6,0.008026565464895635,0.011385199240986717,0.051233396584440226
ppo,29,0.0007394903016685651,0.2,0.05,0.2,527,0.8235294117647058,0.95,9,3,6,0.00805123339658444,0.013282732447817837,0.04933586337760911
ppo,30,0.001748863218362054,0.2,0.05,0.2,527,0.825426944971537,0.9502304147465438,10,3,7,0.008028462998102467,0.011385199240986717,0.06072106261859583
ppo,31,0.0015400666780474167,0.1,0.1,0.1,527,0.825426944971537,0.9502304147465438,10,3,7,0.007996204933586337,0.009487666034155597,0.03795066413662239
ppo,32,0.0025506874376405326,0.2,0.05,0.1,527,0.825426944971537,0.9506912442396314,10,3,7,0.007984819734345349,0.011385199240986717,0.06261859582542695
ppo,33,0.004130955186805555,0.2,0.1,0.1,527,0.825426944971537,0.9506912442396314,10,3,7,0.00794686907020873,0.011385199240986717,0.058823529411764705
ppo,34,0.00408140533830399,0.2,0.2,0.1,527,0.825426944971537,0.9506912442396314,10,3,7,0.007910815939278937,0.011385199240986717,0.03984819734345351
ppo,35,0.004408647011837395,0.2,0.2,0.1,527,0.825426944971537,0.9506912442396314,10,3,7,0.00788235294117647,0.011385199240986717,0.030360531309297913
ppo,36,0.006404003410516356,0.2,0.2,0.1,527,0.825426944971537,0.9506912442396314,10,3,7,0.007827324478178369,0.013282732447817837,0.03225806451612903
ppo,37,0.0065571069532621,0.2,0.2,0.1,527,0.825426944971537,0.9506912442396314,10,3,7,0.007793168880455409,0.013282732447817837,0.03225806451612903
ppo,38,0.008066138028408642,0.2,0.0,0.2,527,0.8235294117647058,0.9509216589861751,10,4,6,0.007903225806451614,0.015180265654648957,0.10815939278937381
