stage,epoch,loss,first_margin,revise_margin,disagreement_margin,samples,exact_acc,char_acc,fixed,broken,net_fixes,mean_cost,stop_rate,revise_rate
ppo,25,-0.005346964773737261,0.2,0.2,0.2,397,0.9370277078085643,0.9895865237366003,5,1,4,0.006808564231738035,0.2216624685138539,0.0025188916876574307
ppo,26,-0.003629094714091884,0.2,0.2,0.2,397,0.9370277078085643,0.9892802450229708,5,1,4,0.0066423173803526435,0.24685138539042822,0.012594458438287154
ppo,27,-0.0036305605796062286,0.2,0.2,0.2,397,0.9370277078085643,0.9892802450229708,5,1,4,0.006201511335012594,0.29974811083123426,0.010075566750629723
ppo,28,-0.0033118635260810454,0.2,0.2,0.2,397,0.9370277078085643,0.9892802450229708,5,1,4,0.005934508816120905,0.33249370277078083,0.005037783375314861
ppo,29,-0.002463426738460031,0.2,0.0,0.2,397,0.9370277078085643,0.9892802450229708,5,1,4,0.005664987405541561,0.36523929471032746,0.03526448362720403
ppo,30,-0.002496683143544942,0.2,0.2,0.2,397,0.9370277078085643,0.9877488514548239,5,1,4,0.004876574307304786,0.4508816120906801,0.005037783375314861
ppo,31,-0.00015270673422574323,0.2,0.2,0.2,397,0.9370277078085643,0.9877488514548239,5,1,4,0.004498740554156172,0.49370277078085645,0.0025188916876574307
ppo,32,-0.0009156964432532336,0.2,0.05,0.2,397,0.9370277078085643,0.9877488514548239,5,1,4,0.0036423173803526447,0.5894206549118388,0.005037783375314861
ppo,33,0.0002781453734463723,0.2,0.05,0.2,397,0.9395465994962217,0.9880551301684533,5,0,5,0.0030277078085642318,0.6599496221662469,0.007556675062972292
ppo,34,-0.0009591173792342092,0.2,0.1,0.2,397,0.9395465994962217,0.9880551301684533,5,0,5,0.002738035264483627,0.6926952141057935,0.010075566750629723
ppo,35,0.0027294212420823547,0.2,0.2,0.2,397,0.9395465994962217,0.9880551301684533,5,0,5,0.0024735516372795968,0.7229219143576826,0.005037783375314861
ppo,36,0.0017847042509365357,0.05,0.1,0.2,397,0.9395465994962217,0.9880551301684533,5,0,5,0.0022896725440806048,0.743073047858942,0.010075566750629723
ppo,37,0.00038734403834945856,0.2,0.2,0.2,397,0.9370277078085643,0.9877488514548239,4,0,4,0.0017657430730478592,0.801007556675063,0.007556675062972292
ppo,38,0.000695340633555724,0.2,0.2,0.2,397,0.9370277078085643,0.9877488514548239,4,0,4,0.0015062972292191434,0.8312342569269522,0.005037783375314861
