stage,epoch,loss,first_margin,revise_margin,samples,exact_acc,char_acc,fixed,broken,net_fixes,mean_cost,stop_rate,revise_rate
ppo,28,-0.0013534999132235215,0.2,0.0,397,0.9370277078085643,0.9880551301684533,7,3,4,0.004425692695214106,0.020151133501259445,0.04534005037783375
ppo,29,-0.0028642001413991527,0.2,0.025,397,0.9395465994962217,0.9883614088820827,7,2,5,0.004347607052896725,0.030226700251889168,0.0327455919395466
ppo,30,-0.0025732744800508337,0.2,0.025,397,0.9395465994962217,0.9883614088820827,7,2,5,0.004297229219143577,0.04030226700251889,0.0327455919395466
ppo,31,-0.0023795933691814304,0.2,0.01,397,0.9395465994962217,0.9883614088820827,7,2,5,0.004130982367758187,0.05793450881612091,0.05037783375314862
ppo,32,-0.0005207792978990014,0.2,0.01,397,0.9395465994962217,0.9892802450229708,7,2,5,0.003959697732997481,0.07304785894206549,0.03526448362720403
ppo,33,-0.0021724930641650363,0.2,0.1,397,0.9395465994962217,0.9892802450229708,7,2,5,0.0037002518891687667,0.07556675062972293,0.022670025188916875
ppo,34,-0.0005597535942104601,0.2,0.025,397,0.9395465994962217,0.9892802450229708,7,2,5,0.003584382871536524,0.07808564231738035,0.05289672544080604
ppo,35,-0.0013200292294775998,0.2,0.05,397,0.9395465994962217,0.9892802450229708,7,2,5,0.003528967254408061,0.08564231738035265,0.042821158690176324
ppo,36,-0.0011616583369061272,0.2,0.01,397,0.9395465994962217,0.9892802450229708,7,2,5,0.0034005037783375325,0.0982367758186398,0.05793450881612091
ppo,37,-0.0007106373332953327,0.2,0.01,397,0.9395465994962217,0.9892802450229708,7,2,5,0.00310831234256927,0.11838790931989925,0.0654911838790932
ppo,38,-0.0002907282874855415,0.2,0.0,397,0.9395465994962217,0.9892802450229708,7,2,5,0.0029848866498740556,0.12846347607052896,0.0654911838790932
ppo,39,-0.00027905373523632687,0.2,0.0,397,0.9395465994962217,0.9892802450229708,7,2,5,0.002926952141057935,0.13350125944584382,0.06801007556675064
ppo,40,0.0007707116091423618,0.2,0.0,397,0.9370277078085643,0.9889739663093415,7,3,4,0.0028413098236775825,0.14357682619647355,0.07304785894206549
