stage,epoch,loss,first_margin,revise_margin,disagreement_margin,samples,exact_acc,char_acc,fixed,broken,net_fixes,mean_cost,stop_rate,revise_rate
ppo,21,-0.0026963248499669136,0.2,0.05,0.2,397,0.9269521410579346,0.9874425727411945,3,3,0,0.0032594458438287154,0.4609571788413098,0.005037783375314861
ppo,22,-0.0038870039460663164,0.1,0.1,0.2,397,0.9319899244332494,0.9880551301684533,4,2,2,0.003128463476070529,0.4760705289672544,0.0025188916876574307
ppo,23,-0.003662472898657951,0.1,0.1,0.2,397,0.9319899244332494,0.9880551301684533,4,2,2,0.0025944584382871544,0.5617128463476071,0.0
ppo,24,-0.006657897642192741,0.1,0.2,0.2,397,0.9345088161209067,0.9886676875957121,4,1,3,0.0019118387909319902,0.6750629722921915,0.0
ppo,25,-0.003773812174344551,0.1,0.2,0.2,397,0.9345088161209067,0.9886676875957121,4,1,3,0.0015289672544080604,0.7405541561712846,0.0
ppo,26,-0.004558064726228684,0.1,0.05,0.2,397,0.9345088161209067,0.9886676875957121,4,1,3,0.001327455919395466,0.7758186397984886,0.0025188916876574307
ppo,27,-0.0028171563115875937,0.1,0.1,0.2,397,0.9345088161209067,0.9886676875957121,4,1,3,0.0010881612090680101,0.818639798488665,0.0
ppo,28,-0.0033355175733229534,0.1,0.2,0.2,397,0.9345088161209067,0.9886676875957121,4,1,3,0.0010377833753148615,0.8261964735516373,0.0
ppo,29,-0.002736447049818676,0.1,0.2,0.2,397,0.9345088161209067,0.9886676875957121,4,1,3,0.0009672544080604534,0.836272040302267,0.0
ppo,30,-0.0022995697398637905,0.05,0.0,0.2,397,0.9345088161209067,0.9886676875957121,4,1,3,0.0009974811083123425,0.8287153652392947,0.015113350125944584
ppo,31,-0.00044408897285874206,0.05,0.05,0.2,397,0.9345088161209067,0.9886676875957121,4,1,3,0.0009697732997481108,0.8337531486146096,0.005037783375314861
ppo,32,-0.0007044619428336449,0.0,0.05,0.2,397,0.9370277078085643,0.9889739663093415,5,1,4,0.0009521410579345089,0.8387909319899244,0.010075566750629723
ppo,33,0.001316661712306755,0.0,0.1,0.2,397,0.9370277078085643,0.9889739663093415,5,1,4,0.0009118387909319899,0.8488664987405542,0.007556675062972292
ppo,34,0.001004541072210199,0.0,0.1,0.2,397,0.9370277078085643,0.9889739663093415,5,1,4,0.0008161209068010076,0.8639798488664987,0.0025188916876574307
ppo,35,0.0035030083139889943,0.0,0.1,0.2,397,0.9370277078085643,0.9889739663093415,5,1,4,0.0008161209068010076,0.8639798488664987,0.007556675062972292
ppo,36,0.0018522905196711333,0.0,0.1,0.2,397,0.9370277078085643,0.9889739663093415,5,1,4,0.0008287153652392947,0.8639798488664987,0.007556675062972292
ppo,37,0.005043923265262567,0.2,0.1,0.2,397,0.9345088161209067,0.9886676875957121,4,1,3,0.0006574307304785895,0.8916876574307305,0.0
ppo,38,0.005404709487698884,0.0,0.1,0.2,397,0.9370277078085643,0.9889739663093415,5,1,4,0.0005541561712846348,0.906801007556675,0.005037783375314861
