stage,epoch,loss,first_margin,revise_margin,disagreement_margin,final_teacher_gain_margin,samples,exact_acc,char_acc,fixed,broken,net_fixes,mean_cost,stop_rate,revise_rate
ppo,15,0.0012766758458373326,0.0,0.0,0.1,0.0,527,0.8273244781783681,0.9534562211981567,11,3,8,0.004960151802656547,0.29411764705882354,0.0056925996204933585
ppo,16,0.0003768846327539093,0.0,0.0,0.2,0.02,527,0.8273244781783681,0.9529953917050691,9,1,8,0.0031328273244781786,0.5692599620493358,0.003795066413662239
ppo,17,0.0007950253221356581,0.0,0.0,0.2,0.02,527,0.825426944971537,0.9527649769585254,8,1,7,0.003043643263757116,0.5768500948766604,0.0018975332068311196
ppo,18,-0.00043301883914698196,0.0,0.0,0.2,0.02,527,0.825426944971537,0.9527649769585254,8,1,7,0.0030341555977229603,0.5787476280834914,0.0056925996204933585
ppo,19,-0.000857485111512404,0.0,0.0,0.2,0.02,527,0.825426944971537,0.9527649769585254,8,1,7,0.0029734345351043645,0.5863377609108159,0.007590132827324478
ppo,20,-0.0016505136154592037,0.0,0.05,0.2,0.02,527,0.825426944971537,0.9534562211981567,8,1,7,0.0029639468690702093,0.5882352941176471,0.0018975332068311196
ppo,21,-0.0015602874023819802,0.0,0.1,0.1,0.02,527,0.8273244781783681,0.9532258064516129,9,1,8,0.002971537001897533,0.5882352941176471,0.0
ppo,22,-0.0024033480461824823,0.0,0.0,0.0,0.0,527,0.8273244781783681,0.952073732718894,9,1,8,0.004567362428842505,0.3510436432637571,0.015180265654648957
ppo,23,-0.0007132010980356464,0.0,0.0,0.0,0.0,527,0.8273244781783681,0.952073732718894,9,1,8,0.004582542694497154,0.3586337760910816,0.017077798861480076
ppo,24,-0.0039964484866393144,0.0,0.0,0.0,0.0,527,0.8273244781783681,0.952073732718894,9,1,8,0.004506641366223909,0.3738140417457306,0.017077798861480076
ppo,25,0.0020820405100171685,0.0,0.0,0.1,0.0,527,0.8292220113851992,0.9527649769585254,9,0,9,0.0043643263757115755,0.3927893738140417,0.030360531309297913
ppo,26,0.0008648104815394002,0.0,0.0,-2.0,0.0,527,0.8292220113851992,0.9527649769585254,9,0,9,0.004341555977229602,0.40037950664136623,0.036053130929791274
ppo,27,-0.0064802094517896576,0.0,0.0,-2.0,0.0,527,0.8273244781783681,0.9525345622119815,9,1,8,0.004316888045540797,0.4098671726755218,0.04364326375711575
ppo,28,0.00499982170997158,0.0,0.0,-2.0,0.0,527,0.8273244781783681,0.9525345622119815,8,0,8,0.004305502846299811,0.4117647058823529,0.036053130929791274
ppo,29,0.0018102019660608479,0.0,0.05,-2.0,0.0,527,0.8273244781783681,0.9525345622119815,8,0,8,0.0043092979127134735,0.41366223908918404,0.022770398481973434
ppo,30,0.0018827509043846653,0.0,0.0,0.2,0.0,527,0.8273244781783681,0.9525345622119815,8,0,8,0.004240986717267553,0.4269449715370019,0.03795066413662239
ppo,31,0.003539263080525142,0.0,0.0,0.2,0.0,527,0.8273244781783681,0.9525345622119815,8,0,8,0.004180265654648957,0.43453510436432635,0.028462998102466792
ppo,32,0.003878293601515633,0.0,0.0,0.1,0.02,527,0.825426944971537,0.9511520737327189,8,1,7,0.0024402277039848198,0.6717267552182163,0.009487666034155597
ppo,33,0.0006982863279522727,0.0,0.0,0.0,0.02,527,0.825426944971537,0.952073732718894,8,1,7,0.0023908918406072106,0.6793168880455408,0.011385199240986717
ppo,34,0.005228508465362573,0.0,0.0,0.0,0.02,527,0.8235294117647058,0.9518433179723502,8,2,6,0.002379506641366224,0.681214421252372,0.013282732447817837
ppo,35,0.006231435585857158,0.0,0.0,0.0,0.02,527,0.8235294117647058,0.9518433179723502,8,2,6,0.0023700189753320684,0.683111954459203,0.015180265654648957
ppo,36,0.006662600838969792,0.0,0.0,0.2,0.02,527,0.8235294117647058,0.9518433179723502,8,2,6,0.0023510436432637575,0.6888045540796964,0.011385199240986717
